Age,Gender,Geography,PreviousPurchases,Salary,NumChildren,Product,EducationLevel,MaritalStatus,EmploymentStatus,HousingStatus,CreditScore,InternetUsage,NumberOfCars,HealthStatus,ShoppingFrequency,MembershipDuration,PurchaseFlag
44,Female,Asia,2417.5170980441117,129585.01772895272,3,Mobile Phone,Bachelor,Widowed,Unemployed,Own,336,1.5068559913167598,2,Fair,10,6,0
59,Female,North America,1993.975118514703,30117.204296161788,2,Mobile Phone,PhD,Widowed,Unemployed,Own,625,2.2684144437232545,2,Poor,8,18,0
45,Female,Africa,9734.000744779813,136544.22443952775,1,Mobile Phone,Bachelor,Divorced,Unemployed,Living with Parents,827,8.083933674309954,2,Poor,17,10,1
33,Male,Europe,2936.804585412781,70962.47145164397,1,Mobile Phone,Master,Single,Unemployed,Living with Parents,423,4.095021148209308,1,Good,2,10,0
32,Male,Europe,2386.493804456879,82489.70280472288,3,Mobile Phone,Bachelor,Widowed,Employed,Living with Parents,319,7.318154108201073,1,Poor,12,15,1
64,Female,Europe,8365.25761206303,77815.37455481738,0,Mobile Phone,Bachelor,Single,Retired,Own,528,7.833410500367093,2,Excellent,19,9,0
68,Female,South America,4249.250550961506,89067.20898601614,4,Mobile Phone,Master,Single,Student,Rent,678,6.784138542920489,1,Good,3,5,1
61,Male,Europe,4272.507939648161,97761.90134514795,2,Mobile Phone,Master,Widowed,Student,Rent,629,6.235440002450005,1,Poor,1,16,1
69,Female,Africa,4491.545617163502,112344.64628729495,0,Mobile Phone,Master,Widowed,Retired,Rent,708,5.455093179095241,2,Good,6,19,0
20,Male,Asia,4223.6916105940845,88242.24407977653,4,Mobile Phone,Bachelor,Widowed,Student,Own,614,4.536610783265919,1,Good,15,5,1
54,Male,Africa,3332.998004092599,109020.52328115574,3,Mobile Phone,PhD,Single,Student,Rent,517,2.345209798719955,1,Good,17,6,0
68,Male,Europe,2934.760481292419,63978.66766679107,2,Mobile Phone,Master,Married,Unemployed,Living with Parents,763,9.755817993349352,0,Excellent,2,9,0
24,Female,Asia,8831.400797205868,141768.5131335383,0,Mobile Phone,Bachelor,Married,Unemployed,Own,693,6.777262523795513,0,Poor,16,6,0
38,Female,North America,1700.9027267400263,28389.03257396999,4,Mobile Phone,PhD,Widowed,Employed,Rent,444,2.7483143471485416,1,Fair,5,15,0
26,Female,North America,1892.5172939370987,90920.27911294217,3,Mobile Phone,High School,Single,Retired,Own,328,8.528367892327452,1,Excellent,12,18,1
56,Male,Africa,5760.01909420792,31361.502882822908,3,Mobile Phone,High School,Married,Employed,Own,537,8.401946356577618,1,Excellent,3,5,1
35,Male,Asia,3502.219938661077,77559.71468480094,4,Mobile Phone,Bachelor,Widowed,Student,Living with Parents,585,7.776825264342568,2,Fair,2,9,1
21,Male,Africa,4273.140711985569,53485.70649486788,1,Mobile Phone,Bachelor,Single,Unemployed,Own,488,2.041183389163473,1,Excellent,6,10,0
42,Female,Asia,8084.811418117762,141797.44844574417,1,Mobile Phone,Master,Single,Unemployed,Living with Parents,503,1.1611529946238455,1,Excellent,6,11,0
31,Male,Asia,9045.947497733343,21699.800230172645,4,Mobile Phone,Bachelor,Single,Unemployed,Living with Parents,461,7.374022908559832,0,Good,4,16,0
67,Male,Africa,7926.481427609816,70856.47204838942,4,Mobile Phone,PhD,Single,Retired,Rent,633,2.8405304181387088,1,Fair,10,13,1
26,Female,Asia,2425.78980657844,121665.55746190409,4,Mobile Phone,Bachelor,Single,Student,Rent,451,8.566671436968573,0,Fair,3,17,0
43,Male,Europe,9801.715767129597,44499.983644690554,3,Mobile Phone,PhD,Single,Retired,Own,550,7.054542350562728,1,Poor,1,8,1
19,Male,Asia,3695.447358079349,126026.46660661288,2,Mobile Phone,PhD,Single,Unemployed,Rent,836,4.36965844379539,2,Excellent,9,11,1
37,Female,Asia,1773.7639055296688,131764.2614172271,3,Mobile Phone,Master,Widowed,Retired,Own,644,5.387586787026935,1,Poor,19,4,0
45,Female,Africa,5045.017384133596,112040.38995395011,3,Mobile Phone,PhD,Widowed,Unemployed,Living with Parents,404,5.524645699518978,1,Fair,18,4,1
64,Male,North America,7280.329119385977,47178.993715402205,1,Mobile Phone,Bachelor,Divorced,Retired,Own,580,4.410310171011657,0,Fair,11,16,1
24,Female,South America,924.3817249499328,55365.0253556031,4,Mobile Phone,PhD,Widowed,Retired,Living with Parents,457,2.6143486630241464,0,Fair,9,13,0
61,Male,Asia,6379.440454748374,41701.51473039706,3,Mobile Phone,High School,Widowed,Unemployed,Living with Parents,531,9.949100784413526,0,Fair,7,17,1
25,Female,South America,8594.971441923302,43928.28583618196,3,Mobile Phone,PhD,Divorced,Student,Own,722,7.742966420875743,1,Fair,4,6,1
64,Male,Asia,2691.636678651668,24743.998541798792,4,Mobile Phone,Bachelor,Widowed,Student,Living with Parents,504,2.4077391681053735,2,Good,6,13,1
52,Female,Africa,6961.919800549404,131450.96055577463,2,Mobile Phone,Master,Married,Retired,Rent,827,1.3111170925379028,0,Excellent,13,18,0
31,Male,Africa,4059.0954366083624,88705.29736561865,1,Mobile Phone,Bachelor,Married,Unemployed,Own,475,4.098976186232294,1,Fair,16,13,0
34,Female,Asia,4199.937917081858,62608.69910531671,0,Mobile Phone,Bachelor,Widowed,Employed,Rent,451,5.990034276067991,1,Poor,2,10,0
53,Female,Africa,2880.0589089682367,57645.00948824304,3,Mobile Phone,Bachelor,Widowed,Retired,Living with Parents,429,9.441459270451526,1,Excellent,18,3,0
67,Female,Africa,6281.498584754964,90810.51853818624,2,Mobile Phone,High School,Widowed,Employed,Living with Parents,776,2.1915867194090835,0,Fair,2,3,0
57,Female,Asia,3673.8926049985303,62469.02683269338,0,Mobile Phone,Master,Widowed,Unemployed,Own,338,4.962031740777194,1,Fair,13,10,0
21,Female,North America,8325.939734269625,132283.33675134525,4,Mobile Phone,High School,Divorced,Student,Living with Parents,658,2.607594248593255,1,Fair,6,11,1
19,Female,Asia,9632.763688190356,47424.466554798404,0,Mobile Phone,PhD,Divorced,Student,Rent,508,1.6275964913101062,0,Good,9,12,0
23,Female,North America,9357.368032405153,134699.23288367083,4,Mobile Phone,PhD,Widowed,Unemployed,Own,742,6.412022480287482,1,Fair,9,6,1
59,Male,Africa,1714.9708926305866,106332.01889044579,2,Mobile Phone,High School,Widowed,Retired,Own,823,1.9342119960073785,1,Good,10,14,0
21,Male,North America,240.48396994803016,144361.79865914612,0,Mobile Phone,Master,Divorced,Student,Rent,376,7.481707552759212,2,Good,6,1,1
46,Female,Africa,4440.836577109361,21963.941412640146,1,Mobile Phone,PhD,Married,Retired,Living with Parents,442,5.981613839522531,1,Good,1,16,1
35,Female,North America,7315.948705954648,27682.423542450342,2,Mobile Phone,Master,Single,Student,Living with Parents,800,3.0926895729359436,2,Fair,3,2,0
43,Male,North America,9776.807156516114,85116.29721175451,0,Mobile Phone,High School,Widowed,Student,Own,359,8.150434378940158,0,Excellent,2,11,1
61,Male,Asia,7855.880785563845,138609.2479041663,3,Mobile Phone,PhD,Married,Retired,Rent,619,7.29650869457005,0,Poor,17,7,0
51,Female,North America,5847.438286483695,115003.34369891886,0,Mobile Phone,High School,Single,Unemployed,Own,463,6.636580134809369,2,Poor,4,4,0
27,Male,Africa,360.8938310725191,100877.67122751333,0,Mobile Phone,PhD,Single,Retired,Own,514,2.9246880781454316,2,Excellent,1,6,1
53,Male,Asia,8272.852845922811,24108.280235823888,1,Mobile Phone,Bachelor,Married,Employed,Living with Parents,568,7.358719507471145,2,Good,12,9,1
31,Female,North America,1853.7358358991899,66041.29249363921,2,Mobile Phone,Master,Widowed,Student,Own,339,5.865631441666885,1,Poor,16,4,1
48,Female,Asia,650.504490449225,64960.876077371446,3,Mobile Phone,High School,Single,Student,Rent,747,5.808673774221556,1,Poor,13,7,1
65,Female,South America,8518.552588807217,90471.13869378774,2,Mobile Phone,Bachelor,Widowed,Retired,Rent,338,2.0757233674282642,2,Poor,3,3,0
32,Male,Asia,5705.8835919328685,53517.61131507903,2,Mobile Phone,High School,Widowed,Unemployed,Rent,472,2.2162126943866376,2,Good,6,19,1
25,Female,South America,1372.6608188184484,54730.242973108805,3,Mobile Phone,High School,Married,Student,Rent,461,1.290705543662409,2,Excellent,16,12,0
31,Female,South America,3926.7723654234032,100711.90400997872,3,Mobile Phone,Master,Divorced,Employed,Living with Parents,534,3.2093818394635942,0,Poor,11,2,1
40,Male,Asia,946.862505533077,142793.78063084034,1,Mobile Phone,High School,Widowed,Employed,Living with Parents,681,5.440651401965452,1,Excellent,13,17,1
57,Female,Africa,6416.30698858524,105823.28347277039,4,Mobile Phone,Master,Divorced,Retired,Living with Parents,316,4.2308979668705975,1,Good,1,11,0
38,Male,Africa,2896.0299367924804,106856.91611753457,1,Mobile Phone,High School,Married,Student,Living with Parents,412,7.416061723771871,0,Fair,1,1,1
33,Male,Africa,8674.331900517209,148207.92574045504,3,Mobile Phone,PhD,Married,Unemployed,Rent,334,4.667563348710029,1,Poor,14,15,1
62,Male,Europe,3642.1806853149506,39952.16171907271,0,Mobile Phone,Bachelor,Married,Unemployed,Rent,503,1.839179414180539,2,Poor,9,1,1
35,Male,South America,4996.875243897186,24398.520646046854,0,Mobile Phone,PhD,Married,Retired,Own,462,7.521533348539657,1,Excellent,18,7,0
64,Male,Asia,728.8816353091538,116916.81359701877,2,Mobile Phone,Master,Single,Student,Own,656,2.657372171111745,2,Good,15,2,0
41,Male,Africa,2828.3669047753015,77042.36631468337,2,Mobile Phone,Master,Divorced,Unemployed,Living with Parents,561,3.835221545321046,0,Excellent,2,12,0
43,Female,Africa,6799.9959897369135,75747.03611776081,4,Mobile Phone,Bachelor,Married,Retired,Own,735,5.505568287138832,0,Fair,2,6,0
42,Female,Asia,7389.001400998637,49289.438927194205,4,Mobile Phone,Master,Married,Student,Living with Parents,373,5.987475662885412,1,Fair,1,6,0
62,Female,South America,2503.9363646112133,85892.195267475,4,Mobile Phone,PhD,Widowed,Unemployed,Living with Parents,706,3.6546914521413942,2,Excellent,5,4,1
58,Male,Asia,5087.818977335008,77482.40468423352,4,Mobile Phone,Bachelor,Divorced,Employed,Living with Parents,415,5.146409181664877,2,Excellent,9,1,0
46,Female,Europe,8193.5579415246,64908.50102002272,0,Mobile Phone,Master,Married,Student,Own,470,1.6003330459600402,1,Fair,18,15,0
32,Male,Europe,3861.1105928065977,77556.87071399446,3,Mobile Phone,Master,Divorced,Retired,Own,736,2.4407097569988867,0,Fair,12,13,0
62,Female,Asia,1424.3355468322134,69898.52019397568,4,Mobile Phone,Master,Divorced,Unemployed,Living with Parents,750,6.39135750988499,2,Good,14,13,1
18,Male,South America,4375.516857163446,142186.52655163978,1,Mobile Phone,Master,Married,Unemployed,Rent,493,1.0412094958646616,1,Excellent,5,8,0
42,Female,Africa,6046.223787777109,147432.7154718586,4,Mobile Phone,High School,Single,Retired,Own,717,2.6556139708342954,2,Excellent,19,17,0
24,Male,Europe,173.24542910455722,129187.12122652802,0,Mobile Phone,High School,Married,Student,Rent,765,6.65512877661796,2,Good,2,17,0
26,Female,Europe,3550.818316139216,148753.83183157624,2,Mobile Phone,High School,Single,Student,Living with Parents,796,3.0902948719962624,2,Excellent,4,12,1
41,Male,South America,6113.6146268621305,54543.5257737934,1,Mobile Phone,Master,Married,Employed,Living with Parents,747,8.361347742511914,1,Good,8,2,1
18,Female,Europe,9523.928305442236,129580.26428946215,4,Mobile Phone,High School,Single,Unemployed,Own,487,4.532725274668868,0,Fair,2,7,0
61,Male,Europe,4144.63245150908,72861.77154734073,0,Mobile Phone,Master,Widowed,Retired,Own,508,7.427519224649756,0,Poor,6,8,1
25,Female,South America,1713.4254282453305,116997.73171110795,2,Mobile Phone,PhD,Divorced,Employed,Own,372,8.965632880211036,0,Poor,7,11,0
41,Female,Asia,5388.769069871848,46181.04328196152,4,Mobile Phone,Master,Divorced,Unemployed,Living with Parents,395,5.033912241004052,1,Fair,8,14,1
28,Female,Africa,2928.9483748868356,125554.29166636994,0,Mobile Phone,Bachelor,Married,Unemployed,Rent,822,7.075192071319557,1,Fair,12,15,0
68,Male,Africa,2226.316053216361,30850.375400399535,0,Mobile Phone,Bachelor,Married,Unemployed,Rent,303,8.590596551688026,0,Poor,18,4,1
34,Male,Europe,5944.992264377814,55172.501873132474,3,Mobile Phone,Bachelor,Single,Retired,Own,350,3.2169972858926337,1,Good,10,1,0
25,Male,Africa,9167.246989930418,126853.84019013023,0,Mobile Phone,Master,Single,Retired,Own,593,8.9669947197963,0,Good,9,13,1
52,Male,Asia,8368.71962295893,117130.69883684069,4,Mobile Phone,Bachelor,Single,Retired,Own,580,8.742742873278843,0,Poor,11,9,1
52,Male,Europe,1904.6961348040154,85162.0781488676,0,Mobile Phone,Bachelor,Single,Employed,Rent,432,1.5438918376095496,1,Fair,8,1,1
50,Female,Africa,7682.2066376635785,107463.06065772715,1,Mobile Phone,Master,Single,Unemployed,Own,637,5.239444372078644,2,Good,2,7,1
22,Male,North America,2375.6994802963554,44124.62318447085,0,Mobile Phone,Master,Married,Unemployed,Own,322,2.0003619277558866,2,Good,9,11,0
59,Female,North America,2977.94248086287,106809.2709050164,0,Mobile Phone,High School,Divorced,Employed,Living with Parents,785,8.975390634032335,1,Fair,7,5,1
56,Female,North America,9208.50991814654,21036.901754394028,1,Mobile Phone,Master,Single,Employed,Own,825,3.1567161814682505,1,Fair,9,6,0
58,Male,North America,9119.396492066335,128318.06275959579,4,Mobile Phone,High School,Divorced,Retired,Living with Parents,386,4.338793499217139,0,Poor,6,15,1
45,Female,North America,1769.4445689971074,87117.38903986267,2,Mobile Phone,Master,Divorced,Unemployed,Rent,347,9.441754163393368,2,Good,14,2,1
24,Male,Europe,735.499373642466,142704.19870924563,3,Mobile Phone,PhD,Married,Student,Own,748,6.058636960017312,2,Poor,8,1,0
26,Male,South America,3001.869222045793,82161.35475196164,2,Mobile Phone,Bachelor,Widowed,Student,Rent,817,9.34364902483842,0,Excellent,15,7,0
25,Male,South America,5859.573091799909,76301.34670242434,4,Mobile Phone,PhD,Single,Employed,Rent,326,5.154283023008299,0,Good,19,19,1
29,Female,Europe,8781.22761038163,78506.86561171582,4,Mobile Phone,Master,Single,Employed,Rent,624,9.845005996525622,2,Poor,15,8,1
51,Male,Europe,1276.490150114862,66764.72063578849,1,Mobile Phone,PhD,Single,Employed,Rent,774,9.597340728278002,0,Poor,16,3,1
50,Male,Asia,4208.089171804944,41667.760899545014,2,Mobile Phone,High School,Single,Student,Rent,805,1.1810678757138942,2,Excellent,15,12,0
65,Male,South America,2790.3228885332037,129468.15450291574,0,Mobile Phone,Master,Married,Student,Living with Parents,791,4.655465800016707,1,Excellent,5,14,1
40,Female,North America,247.7967756365749,70581.10300857833,1,Mobile Phone,Master,Widowed,Retired,Living with Parents,452,9.549576091191367,1,Fair,11,1,0
41,Male,Europe,7905.617981850684,88784.09566455161,1,Mobile Phone,PhD,Married,Retired,Rent,798,8.328300823097717,2,Good,5,13,1
54,Female,North America,8151.513710360005,22585.299140246738,3,Mobile Phone,Bachelor,Single,Unemployed,Rent,378,2.907975556996239,2,Poor,17,5,1
52,Female,South America,2290.1677115756324,27833.003452819878,1,Mobile Phone,Master,Single,Retired,Own,345,8.964242164321625,0,Good,18,15,0
61,Male,Africa,1597.2784753996432,97633.81983211979,2,Mobile Phone,Bachelor,Divorced,Unemployed,Rent,731,2.8142469103522663,1,Excellent,10,2,0
57,Female,Africa,1531.152450859752,134299.65072676915,4,Mobile Phone,PhD,Divorced,Retired,Living with Parents,721,9.425662076848573,2,Good,15,5,0
39,Female,Europe,4693.077178666445,84141.45764338969,3,Mobile Phone,PhD,Widowed,Retired,Living with Parents,572,1.7474147092683707,0,Poor,6,13,1
44,Male,Asia,2540.306315614121,41446.695478658236,0,Mobile Phone,PhD,Single,Retired,Living with Parents,332,9.516988535880163,2,Fair,16,16,0
52,Male,North America,5162.42086063616,35096.550867575956,2,Mobile Phone,High School,Single,Student,Living with Parents,829,1.7409881811368961,1,Good,12,4,0
18,Male,Europe,3910.0321978032134,136972.4401810801,0,Mobile Phone,Master,Widowed,Student,Rent,335,3.0508339854143416,2,Poor,6,6,1
52,Female,Asia,2187.8140185198135,111212.9210219834,1,Mobile Phone,PhD,Divorced,Employed,Living with Parents,388,6.095489852578272,2,Fair,6,18,0
54,Male,North America,7536.798716617411,145605.42208648945,2,Mobile Phone,PhD,Divorced,Retired,Living with Parents,330,2.6922995279671156,2,Poor,12,2,0
64,Female,South America,1588.6025143246452,30705.320774706954,3,Mobile Phone,High School,Single,Student,Living with Parents,320,4.503191670428873,2,Good,7,12,0
31,Female,Africa,8009.1329167223275,137339.67115304372,3,Mobile Phone,Master,Divorced,Unemployed,Own,656,2.520368952527075,2,Fair,2,19,0
20,Female,Asia,5658.319198533893,129932.20062848607,0,Mobile Phone,Bachelor,Widowed,Retired,Rent,589,6.020024301345116,1,Excellent,13,12,1
18,Female,North America,8337.167712496797,136114.07378013997,4,Mobile Phone,Master,Married,Student,Living with Parents,484,6.498348223163186,0,Good,12,6,0
22,Female,Europe,147.11449669205967,20749.18435892814,3,Mobile Phone,PhD,Divorced,Employed,Living with Parents,610,2.9840944461612056,1,Excellent,3,15,0
43,Male,North America,7516.9663384512805,116447.45246853531,0,Mobile Phone,Bachelor,Widowed,Employed,Rent,834,3.624075126670973,0,Poor,14,17,0
31,Male,Europe,610.0043731860417,91361.95484101307,4,Mobile Phone,High School,Single,Unemployed,Living with Parents,668,7.643032474392653,0,Excellent,1,4,0
56,Female,Africa,9505.977318474424,94513.32638859456,2,Mobile Phone,High School,Married,Unemployed,Living with Parents,630,1.7793284671317313,1,Good,7,11,0
44,Female,Africa,7057.120935066297,80996.25835585824,3,Mobile Phone,PhD,Widowed,Student,Living with Parents,703,5.0761271257066864,2,Poor,11,4,0
26,Male,North America,3269.705677151444,116547.99930726852,3,Mobile Phone,Bachelor,Married,Employed,Own,656,3.6106954283297226,0,Good,6,19,0
32,Male,North America,3266.5198791729213,149979.1077619326,0,Mobile Phone,Master,Divorced,Student,Living with Parents,398,4.71109308411399,2,Excellent,18,9,0
32,Female,Europe,8628.77455921439,112369.98670564125,3,Mobile Phone,PhD,Single,Retired,Living with Parents,550,8.518953551096047,1,Fair,5,11,1
43,Female,Europe,9038.117271681322,108146.55408511197,0,Mobile Phone,Bachelor,Divorced,Unemployed,Rent,595,9.811877522430056,0,Good,12,14,1
59,Male,Asia,8926.575482283564,105076.90303841051,3,Mobile Phone,Bachelor,Divorced,Unemployed,Rent,707,2.6235221642141133,0,Fair,12,3,0
30,Male,Asia,8106.528896406642,110377.51708015648,0,Mobile Phone,Bachelor,Widowed,Retired,Own,658,1.5500261168239247,1,Fair,18,7,0
68,Female,Asia,8208.417006280091,64474.62076600822,3,Mobile Phone,Bachelor,Widowed,Retired,Rent,308,2.772480160346791,1,Fair,15,11,0
49,Male,North America,5770.402238487839,61628.56667663443,2,Mobile Phone,High School,Divorced,Retired,Rent,598,8.85302481594526,2,Good,2,1,1
56,Male,Asia,379.48742419577457,121963.93717516582,2,Mobile Phone,Bachelor,Widowed,Employed,Own,642,8.915145063814418,1,Good,8,9,1
66,Female,North America,959.0554923840498,26901.44225588552,0,Mobile Phone,Bachelor,Widowed,Employed,Living with Parents,503,3.5806873553298555,2,Excellent,15,9,0
69,Female,Africa,6530.57716912138,118702.2059664399,2,Mobile Phone,PhD,Married,Retired,Rent,449,3.9687454930556907,0,Good,17,17,1
49,Female,South America,4071.535087237567,125799.4060720439,0,Mobile Phone,High School,Divorced,Unemployed,Rent,309,6.975895521741179,2,Poor,6,14,0
21,Male,Africa,5716.365345331703,87807.7347462148,0,Mobile Phone,High School,Divorced,Unemployed,Own,509,4.075872583269098,0,Poor,6,15,1
47,Female,North America,2387.6684639590744,138319.252403692,1,Mobile Phone,High School,Widowed,Employed,Rent,687,9.136660074060883,0,Good,14,10,1
54,Male,North America,6529.230019067601,81501.36682913399,2,Mobile Phone,Master,Divorced,Employed,Rent,329,8.209556258676912,0,Good,17,16,0
40,Female,South America,2504.0124875140727,43151.26685245977,1,Mobile Phone,Master,Divorced,Unemployed,Living with Parents,768,4.220328006513125,1,Poor,6,12,0
56,Female,Europe,4662.046699956005,66981.82433186746,1,Mobile Phone,High School,Widowed,Student,Own,449,9.750577547825278,2,Excellent,1,10,1
62,Male,Europe,4839.327005952702,137762.77577104123,3,Mobile Phone,PhD,Single,Employed,Living with Parents,391,7.704378522300812,2,Fair,16,6,0
32,Male,Europe,1858.915475407676,149185.97748217033,0,Mobile Phone,Bachelor,Widowed,Employed,Living with Parents,663,7.815697466679848,2,Good,6,19,0
60,Female,Asia,8774.456491237632,74841.01570863284,4,Mobile Phone,Bachelor,Single,Unemployed,Living with Parents,596,9.643132402156317,2,Fair,19,9,0
46,Female,Europe,5305.628457103889,41690.05092717552,1,Mobile Phone,High School,Single,Retired,Own,788,4.876026840758577,0,Good,4,19,1
53,Male,Asia,8681.159401589624,57222.80643043792,3,Mobile Phone,High School,Married,Unemployed,Rent,784,1.372725565376937,0,Good,8,19,0
30,Female,Asia,2699.103385409648,91928.52452681532,2,Mobile Phone,Master,Single,Employed,Living with Parents,735,9.91863119143002,2,Good,3,7,1
49,Male,Europe,1806.1258601345917,94372.46937602905,4,Mobile Phone,High School,Divorced,Retired,Own,313,9.417570551203593,1,Good,11,9,1
24,Male,Europe,278.3648114392837,101907.7228701654,0,Mobile Phone,Master,Widowed,Student,Rent,658,9.695493339835199,1,Excellent,19,17,0
68,Female,South America,1029.2601312924219,128595.9384344311,3,Mobile Phone,High School,Divorced,Retired,Own,340,5.26487734462204,1,Excellent,19,18,1
39,Male,South America,1559.958988377458,112457.8397194436,4,Mobile Phone,Bachelor,Single,Student,Living with Parents,386,2.481118044597201,2,Fair,16,8,0
45,Male,Asia,880.6700675418984,53909.2294453259,0,Mobile Phone,High School,Widowed,Unemployed,Own,707,2.762321081917651,0,Good,19,13,0
19,Male,South America,8979.105021907655,71355.72789048005,0,Mobile Phone,Bachelor,Widowed,Retired,Living with Parents,374,5.259334797347847,1,Good,19,9,0
59,Female,Asia,9123.239248623462,129176.15589452175,4,Mobile Phone,High School,Widowed,Retired,Own,318,7.078487498274153,1,Good,14,8,1
62,Male,North America,9379.890455522935,102339.74717874244,3,Mobile Phone,Master,Widowed,Unemployed,Living with Parents,439,5.186295829872885,1,Excellent,12,13,0
23,Female,Asia,9602.62228209912,41634.34627181405,4,Mobile Phone,High School,Married,Student,Rent,430,4.551301310807228,2,Fair,1,13,0
45,Female,Asia,4969.166549697389,62320.04453044141,1,Mobile Phone,PhD,Married,Student,Own,485,9.67142985159616,0,Fair,11,17,0
45,Female,South America,5347.243904567008,122841.81861601718,0,Mobile Phone,Bachelor,Married,Student,Own,666,6.829427749086835,0,Good,11,5,0
61,Male,North America,1395.221242878169,42372.23603203948,2,Mobile Phone,Bachelor,Widowed,Retired,Rent,473,4.666207139014464,2,Poor,17,16,0
